id,Affiliation,Abbreviation,Affiliation En Name,Type,University,City
52,Institut des Sciences du Sport,ISS ,Institute of Sports Sciences,Institut,Université Hassan 1er,Settat
53,Université Hassan II,UH2,Hassan II University,Université,Université Hassan II ,Casablanca 
54,"Faculté des Sciences Juridiques, Economiques et Sociales Aïn Chock",FSJES Aïn Chock ,"Faculty of Legal, Economic and Social Sciences of Aïn Chock",Faculté,Université Hassan II,Casablanca
55,"Faculté des Sciences Juridiques, Economiques et Sociales Aïn Sebaa",FSJES Aïn Sebaa ,"Faculty of Legal, Economic and Social Sciences of Aïn Sebaa",Faculté,Université Hassan II,Casablanca
56,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Hassan II,Mohammedia
57,Faculté des Lettres et des Sciences Humaines Aïn Chock,FLSH Aïn Chock ,Faculty of Letters and Humanities Aïn Chock,Faculté,Université Hassan II,Casablanca
58,Faculté des Lettres et des Sciences Humaines Ben M'Sick,FLSH Ben M'Sick ,Faculty of Letters and Humanities Ben M'Sick,Faculté,Université Hassan II,Casablanca
59,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Hassan II,Mohammedia
60,Faculté des Sciences Aïn Chock,FS Aïn Chock ,Faculty of Sciences Aïn Chock,Faculté,Université Hassan II,Casablanca
61,Faculté des Sciences Ben M'Sick,FS Ben M'Sick ,Faculty of Sciences Ben M'Sick,Faculté,Université Hassan II,Casablanca
62,Faculté des Sciences et Techniques,FST ,Faculty of Sciences and Techniques,Faculté,Université Hassan II,Mohammedia
63,Faculté de Médecine et de Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Hassan II,Casablanca
64,Faculté de Médecine Dentaire,FMD ,Faculty of Dental Medicine,Faculté,Université Hassan II,Casablanca
65,Ecole Nationale Supérieure d'Electricité et de Mécanique,ENSEM ,National Higher School of Electricity and Mechanics,Ecole,Université Hassan II,Casablanca
66,Ecole Nationale Supérieure des Arts et Métiers,ENSAM ,National Higher School of Arts and Crafts,Ecole,Université Hassan II,Casablanca
67,Ecole Nationale Supérieure d'Art et Design,ENSAD ,National Higher School of Art and Design,Ecole,Université Hassan II,Casablanca
68,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Hassan II,Casablanca
69,Ecole Normale Supérieure,ENS ,Higher Normal School,Ecole,Université Hassan II,Casablanca
70,Ecole Normale Supérieure de l'Enseignement Technique,ENSET ,Higher Normal School of Technical Education,Ecole,Université Hassan II,Mohammedia
71,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Hassan II,Casablanca
72,Université Ibn Tofail,UIT,Ibn Tofail University,Université,Université Ibn Tofail,Kénitra
73,Faculté des Sciences Juridiques et Politiques,FSJP ,Faculty of Juridical and Political Sciences,Faculté,Université Ibn Tofail,Kénitra
74,Faculté d'Economie et de Gestion,FEG ,Faculty of Economics and Management,Faculté,Université Ibn Tofail,Kénitra
75,"Facultés des Langues, des Lettres et des Arts",FLLA ,"Faculty of Languages, Letters and Arts",Facultés,Université Ibn Tofail,Kénitra
76,Faculté des Sciences Humaines et Sociale,FSHS ,Faculty of Human and Social Sciences,Faculté,Université Ibn Tofail,Kénitra
77,Faculté des Sciences,FS ,Faculty of Sciences,Faculté,Université Ibn Tofail,Kénitra
78,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Ibn Tofail,Kénitra
79,Ecole Nationale Supérieure de Chimie,ENSC ,Natinal Higher School of Chemistry,Ecole,Université Ibn Tofail,Kénitra
80,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Ibn Tofail,Kénitra
81,Ecole Supérieure de l'Education et de la Formation,ESEF ,Higher School of Education and Training,Ecole,Université Ibn Tofail,Kénitra
82,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Ibn Tofail,Kénitra
83,Institut des Métiers du Sport,IMS ,Institute of Sports Professions,Institut,Université Ibn Tofail,Kénitra
84,Université Ibn Zohr,UIZ,Ibn Zohr University,Université,Université Ibn Zohr,Agadir
85,Faculté Chariâa,Faculté Chariâa ,Faculty of Islamic Law (Sharia),Faculté,Université Ibn Zohr,Agadir
86,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Ibn Zohr,Agadir
87,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Ibn Zohr,Ait Melloul
88,Faculté d'Economie et de Gestion,FEG ,Faculty of Economics and Management,Faculté,Université Ibn Zohr,Guelmim
89,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Ibn Zohr,Agadir
90,"Faculté des Langues, Arts et Science humaines",FLASH ,"Faculty of Languages, Arts and Human Sciences",Faculté,Université Ibn Zohr,Ait Melloul
91,Faculté des Sciences,FS ,Faculty of Sciences,Faculté,Université Ibn Zohr,Agadir
92,Faculté des Sciences Appliquées,FSA ,Faculty of Applied Sciences,Faculté,Université Ibn Zohr,Ait Melloul
93,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Ibn Zohr,Ouarzazate
94,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Ibn Zohr,Taroudant
95,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Ibn Zohr,Es-Semara
96,Faculté de Médecine et de Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Ibn Zohr,Agadir
97,Faculté de Médecine et de Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Ibn Zohr,Laayoune
98,Faculté de Médecine et de Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Ibn Zohr,Guelmim
99,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Ibn Zohr,Agadir
100,Ecole Nationale Supérieure de l'Intelligence Artificielle et Sciences des Données,ENSIASD ,National Higher School of Artificial Intelligence and Data Sciences,Ecole,Université Ibn Zohr,Taroudant
101,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Ibn Zohr,Agadir
102,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Ibn Zohr,Dakhla
103,Ecole Supérieure de l'Education et de la Formation,ESEF ,Higher School of Education and Training,Ecole,Université Ibn Zohr,Agadir
104,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Ibn Zohr,Agadir
105,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Ibn Zohr,Guelmim
106,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Ibn Zohr,Laayoune
107,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Ibn Zohr,Dakhla
108,Université Mohammed Premier,UM1,Mohammed First University,Université,Université Mohammed Premier,Oujda
109,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Mohammed Premier,Oujda
110,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Mohammed Premier,Oujda
111,Faculté des Sciences,FS ,Faculty of Sciences,Faculté,Université Mohammed Premier,Oujda
112,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Mohammed Premier,Nador
113,Faculté de Médecine et de Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Mohammed Premier,Oujda
114,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Mohammed Premier,Oujda
115,Ecole Nationale Supérieure de l'Intelligence Artificielle et du Digital,ENSIAD ,National Higher School of Artificial Intelligence and Digital Sciences,Ecole,Université Mohammed Premier,Berkane
116,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Mohammed Premier,Oujda
117,Ecole Supérieure de l'Education et de la Formation,ESEF ,Higher School of Education and Training,Ecole,Université Mohammed Premier,Oujda
118,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Mohammed Premier,Oujda
119,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Mohammed Premier,Nador
120,Université Mohammed V,UMV,Mohammed V University,Université, Université Mohammed V, Rabat
121,"Faculté des Sciences Juridiques, Economiques et Sociales Agdal",FSJES Agdal,"Faculty of Legal, Economic and Social Sciences of Agdal",Faculté,Université Mohammed V,Rabat
122,"Faculté des Sciences Juridiques, Economiques et Sociales Souissit",FSJES Souissi,"Faculty of Legal, Economic and Social Sciences of Souissit",Faculté,Université Mohammed V,Rabat
123,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES Salé,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Mohammed V,Salé
124,Faculté des Lettres et des Sciences Humaines,FLSH,Faculty of Letters and Humanities,Faculté,Université Mohammed V,Rabat
125,Faculté des Sciences,FS ,Faculty of Sciences,Faculté,Université Mohammed V,Rabat
126,Faculté de Médecine et de Pharmacie,FMP,Faculty of Medicine and Pharmacy,Faculté,Université Mohammed V,Rabat
127,Faculté de Médecine Dentaire,FMD ,Faculty of Dental Medicine,Faculté,Université Mohammed V,Rabat
128,Ecole Mohammadia d'Ingénieurs,EMI ,Mohammadia Engineering School,Ecole,Université Mohammed V,Rabat
129,Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes,ENSIAS ,National Higher School of Computer Science and Systems Analysis,Ecole,Université Mohammed V,Rabat
130,Ecole Nationale Supérieure des Arts et Métiers,ENSAM ,National Higher School of Arts and Crafts,Ecole,Université Mohammed V,Rabat
131,Faculté des Sciences de l'Education,FSE ,Faculty of Educational Sciences,Faculté,Université Mohammed V,Rabat
132,Ecole Normale Supérieure,ENS ,Higher Normal School,Ecole,Université Mohammed V,Rabat
133,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Mohammed V,Salé
134,Institut Scientifique,IS ,Scientific Institute,Institut,Université Mohammed V,Rabat
135,Institut d'Etudes et de Recherches pour l'Arabisation,IERA ,Institute of Studies and Research for Arabization,Institut,Université Mohammed V,Rabat
136,"Institut Universitaire des Etudes Africaines, Euro-méditerranéennes et Ibero-américaines",IUEAMIA ,"Institut Universitaire des Etudes Africaines, Euro-méditerranéennes et Ibero-américaines",Institut,Université Mohammed V,Rabat
137,Université Moulay Ismail,UMI,Moulay Ismail University,Université,Université Moulay Ismail,Meknès
138,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Moulay Ismail,Meknès
139,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Moulay Ismail,Meknès
140,Faculté des Sciences,FS ,Faculty of Sciences,Faculté,Université Moulay Ismail,Meknès
141,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Moulay Ismail,Errachidia
142,Faculté des Sciences et Techniques,FST ,Faculty of Sciences and Techniques,Faculté,Université Moulay Ismail,Errachidia
143,Faculté de Médecine et Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Moulay Ismail,Errachidia
144,Ecole Nationale Supérieure des Arts et Métiers,ENSAM ,National Higher School of Arts and Crafts,Ecole,Université Moulay Ismail,Meknès
145,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Moulay Ismail,Meknès
146,Ecole Normale Supérieure,ENS ,Higher Normal School,Ecole,Université Moulay Ismail,Meknès
147,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Moulay Ismail,Meknès
148,Université Sidi Mohamed Ben Abdellah,USMBA,Sidi Mohamed Ben Abdellah University,Université,Université Sidi Mohamed Ben Abdellah ,Fès
149,Faculté Chariâa,Faculté Chariâa ,Faculty of Islamic Law (Sharia),Faculté,Université Sidi Mohamed Ben Abdellah,Fès
150,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES ,"Faculty of Legal, Economic and Social Sciences",Faculté,Université Sidi Mohamed Ben Abdellah,Fès
151,Faculté des Lettres et des Sciences Humaines Dhar El Mahraz,FLSH Dhar El Mahraz ,Faculty of Letters and Humanities Dhar El Mahraz,Faculté,Université Sidi Mohamed Ben Abdellah,Fès
