author_id,author_name,affiliation_full_name,city,affiliation,affiliation_id
57211855282,"Amssayef, Ayoub","Departments of Ethnopharmacology and Pharmacognosy, Faculty of Sciences and Techniques Errachidia, Moulay Ismail University of Meknes, BP 509, Boutalamine, Errachidia, 52000, Morocco",Meknès,faculty of sciences,140
57197782567,"Sayad, Zahra","Department of Oral and Maxillofacial Surgery, Ibn Sina University Hospital Center, Rabat, Morocco",Rabat,,
57225169502,"Azeroual, Sidi","École Nationale Supérieure des Arts et Métiers de Meknès, Université My Ismail, Morocco",Meknès,ecole nationale superieure des arts et metiers,144
6504179759,"Morabet, Rachida"," Department of Geography, LADES Lab, FLSH-M, Hassan II University of Casablanca, Mohammedia, Morocco",Mohammedia,flsh,59
8445493100,"Kalam, Anas"," LRI Laboratory, ENSEM, Casablanca, Morocco",Casablanca,ensem,65
35323735800,"Benhaddou, Siham"," TIM Laboratory, ENSAM, Marrakesh, Morocco",Marrakech,,
57191632306,"Lakrih, Siham","University Abdelmalek Essaâdi, Faculty of Sciences, Laboratory of Information and Telecommunications Systems. Optics and Photonics Team, Tetouan, 93000-, Morocco",Tétouan,faculty of sciences,6
59126838300,"Salhi, Salah","Faculty of Law, Economics and Social Sciences, Souissi Mohammed V University, Morocco",,,
57216964322,"Aboudi, Sara"," Organizational Management Sciences Lab, National School of Business and Management, Ibn Tofail University, Morocco",,,
57225080259,"Fateh, Rachid","Mathematics and Informatics Department, LIMATI Laboratory, Sultan Moulay Slimane University, Beni Mellal, Morocco",Béni Mellal,sultan moulay slimane university,162
57225048862,"Echchikhi, Meryem","Service de Neuroradiologie, Hôpital des Spécialités, CHU Ibn Sina, Université Mohamed V, Faculté de Médecine et de Pharmacie, Rabat, Morocco",Rabat,faculte de medecine et de pharmacie,126
57190170319,"Aznaoui, Hanane","Cadi Ayyad University, Marrakech, Morocco",Marrakech,cadi ayyad university,18
56529635600,"Sahdane, T","Laboratory of Solid Physics, Faculty of Sciences Dhar El Mahraz, Sidi Mohamed Ben Abdellah University, Fez, Morocco",Fès,faculty of sciences dhar el mahraz,153
57221090474,"Harchaoui, Hakim","Cognitive-Behavioral Neurosciences and Applied Nutrition Unit, Nutrition, Health and Environment Laboratory, Department of Biology, Faculty of Sciences, University IBN TOFAIL, BP 133, Kenitra, Morocco",Kénitra,faculty of sciences,77
35085255000,"Paul, B"," 2 Sidi Mohamed Ben Abdellah University, Faculty of Sciences, Fes, Morocco",Fès,faculty of sciences,153
