id,Affiliation,Abbreviation,University,City
71,Ecole Supérieure de Technologie ,EST ,Université Hassan II,Casablanca
72,Université Ibn Tofail,UIT,Université Ibn Tofail,Kénitra
73,Faculté des Sciences Juridiques et Politiques ,FSJP ,Université Ibn Tofail,Kénitra
74,Faculté d'Economie et de Gestion ,FEG ,Université Ibn Tofail,Kénitra
75,"Facultés des Langues, des Lettres et des Arts ",FLLA ,Université Ibn Tofail,Kénitra
76,Faculté des Sciences Humaines et Sociale ,FSHS ,Université Ibn Tofail,Kénitra
77,Faculté des Sciences ,FS ,Université Ibn Tofail,Kénitra
78,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Ibn Tofail,Kénitra
79,Ecole Nationale Supérieure de Chimie ,ENSC ,Université Ibn Tofail,Kénitra
80,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Tofail,Kénitra
81,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Ibn Tofail,Kénitra
82,Ecole Supérieure de Technologie ,EST ,Université Ibn Tofail,Kénitra
83,Institut des Métiers du Sport ,IMS ,Université Ibn Tofail,Kénitra
84,Université Ibn Zohr,UIZ,Université Ibn Zohr,Agadir
85,Faculté Chariâa ,Faculté Chariâa ,Université Ibn Zohr,Agadir
86,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Ibn Zohr,Agadir
87,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Ibn Zohr,Ait Melloul
88,Faculté d'Economie et de Gestion ,FEG ,Université Ibn Zohr,Guelmim
89,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Ibn Zohr,Agadir
90,"Faculté des Langues, Arts et Science humaines ",FLASH ,Université Ibn Zohr,Ait Melloul
91,Faculté des Sciences ,FS ,Université Ibn Zohr,Agadir
92,Faculté des Sciences Appliquées ,FSA ,Université Ibn Zohr,Ait Melloul
93,Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Ouarzazate
94,Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Taroudant
95,Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Es-Semara
96,Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Agadir
97,Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Laayoune
98,Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Guelmim
99,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Ibn Zohr,Agadir
100,Ecole Nationale Supérieure de l'Intelligence Artificielle et Sciences des Données ,ENSIASD ,Université Ibn Zohr,Taroudant
101,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Zohr,Agadir
102,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Zohr,Dakhla
103,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Ibn Zohr,Agadir
104,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Agadir
105,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Guelmim
106,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Laayoune
107,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Dakhla
108,Université Mohammed Premier,UM1,Université Mohammed Premier,Oujda
