Affiliation,Abbreviation,University,City
Université Chouaib Doukkali,,Université Chouaib Doukkali,El Jadida
"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Chouaib Doukkali,El Jadida
Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Chouaib Doukkali,El Jadida
Faculté des Sciences ,FS ,Université Chouaib Doukkali,El Jadida
Faculté Polydisciplinaire ,FP ,Université Chouaib Doukkali,Sidi Bennour
Ecole Nationale des Sciences Appliquées ,ENSA ,Université Chouaib Doukkali,El Jadida
Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Chouaib Doukkali,El Jadida
Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Chouaib Doukkali,El Jadida
Ecole Supérieure de Technologie ,EST ,Université Chouaib Doukkali,Sidi Bennour
