author_id,author_name,affiliation_full_name,country
24464131300,"Ajhoun, Rachida"," Laboratoire Alkhawarizmi de Genie Informatique, ENSIAS, Agdal Rabat, BP 713, Morocco",morocco
55502014900,"Enzili, Mustapha","Renewable Energy Development Center (L'DER), Guetiz - Marrakech, PO. BOX 509, Morocco",morocco
8864913100,"Aharouch, L","University Ibn Zohr, Faculté Polydisciplinaire Quarzazate, Maroc, B.P. 638 Quarzazate, Morocco",morocco
8586238300,"Azroul, E"," Département de Mathématiques et Informatique, Faculté des Sciences Dhar-Mahraz, Maroc, B.P. 1796 Atlas Fés, Morocco",morocco
24724519600,"Jamouli, Hicham","Université Ibn Zohr, Ecole Nationale des Sciences Appliquées d'Agadir, 80000 Agadir, BP 1136, Morocco",morocco
24767710000,"Alami, Jihane","Laboratoire Conception and Systemes, Faculty of Sciences, Rabat, Morocco",morocco
24821184400,"Aouzale, Noureddine","Electrical Systems and Telecommunication Laboratory, Faculty of Science and Technology of Marrakech, Marrakech, BP549, Morocco",morocco
23018209400,"Alj, L","Moroccan Poison Control and Pharmacovigilance Centre, Rabat 10100, Morocco",morocco
57200235726,"Touzani, M"," Faculté de Médecine et de Pharmacie de Rabat, Rabat, Morocco",morocco
57212811135,"Edwards, I"," Moroccan Poison Control and Pharmacovigilance Centre, Madinat Al Irfane, Rabat 10100, Rue Lamfadel Cherkaoui, Morocco",morocco
57196834220,"Bousmina, Mosto"," Hassan II Academy of Sciences and Technology, Rabat, Morocco",morocco
24474272000,"Chougdali, Khalid","Laboratory of Conception and Systems, Faculty of Science Agdal Rabat, Morocco",morocco
24824539600,"Enneya, N","E.N.S.I.A.S, Laboratory SI2M, University Mohammed V-Souissi, Rabat, B.P. 713, Morocco",morocco
7801316518,"Oualkadi, Ahmed","MSESYP Laboratory, Ecole Nationale des Sciences Appliquées, Université Cadi Ayyad, Marrakech, Morocco",morocco
14630384900,"Andaloussi, Abdeljabar","Laboratoire de Cytogénétique, Institut Pasteur du Maroc, Casablanca 20100, Morocco",morocco
9844710200,"Hassouani, Y","Laboratoire de Dynamique et d'Optique des Matériaux, Département de Physique, Université Mohamed i, 60000 Oujda, Morocco",morocco
57222080243,"Tabii, Youness","Laboratoire SI2M, Equipe WiM, ENSIAS B.P 713, University Mohamed V - Souissi, Rabat, Morocco",morocco
15122627800,"Tebbji, K","Laboratoire de Chimie Appliquée and Environnement, Faculté des Sciences, Oujda, Morocco",morocco
6506513585,"Faska, N"," Département de Chimie Faculté des Sciences Semlalia Marrakech, Morocco",morocco
16311340300,"Tounsi, A"," Laboratoire des Procédés de Séparation, Faculté des Sciences et Techniques, Errachidia, Morocco",morocco
56008990500,"Oudda, H"," Laboratoire des Procédés de Séparation, Faculté des Sciences, Kenitra, Morocco",morocco
8947023800,"Benkaddour, M"," Laboratoire d'Analyse et Caractérisation des Matériaux, Faculté des Sciences, Oujda, Morocco",morocco
6507722070,"badaoui, Mohamed"," GSCM-LRIT, Faculty of Sciences, B.P. 1014 Rabat, Morocco",morocco
55819169300,"hamad, Bakrim"," Department of Applied Physics, Faculty of Sciences and Technics, BP-549 Marrakech, Morocco",morocco
25321104300,"Mehdi, Ismaili","Faculty of Sciences, University Mohamed V Rabat Agdal Rabat-Morocco, Morocco",morocco
26029355300,"Elhassane, Ibn"," National Institute of Post and Telecommunications (INPT) Rabat-Morocco, Morocco",morocco
56264429900,"Safi, S","Cadi Ayyad University S-A, Department of Physics S-A, Beni Mellal, S-A, PoBox 523, Morocco",morocco
14627198800,"Boulmakoul, Azedine","LIM, IST Computer Sciences Dep., Faculte des Sciences et Techniques de Mohammedia, Mohammedia, B.P. 146, Morocco",morocco
36146290400,"Majumdar, Swapan","University of Ifrane, Morocco",morocco
7003443974,"Sekkat, Z"," School of Science and Engineering, Al Akhawayn University in Ifrane, 53000 Ifrane, Morocco",morocco
19933623000,"Bakrim, Ahmed","Pole d'Excellence Regional- Centre des Etudes Environnementales Mediterraneennes, Laboratoire de Biologie Appliquée et Sciences de l'Environnement, Faculté des Sciences et Techniques, Tanger, BP : 416, Morocco",morocco
12240426400,"Baryala, Yamna","Laboratoire de Chimie Organique et Tudes Physicochimiques, ENS Rabat, Morocco",morocco
12240226500,"Zerzouf, Abdelfettah"," Laboratoire de Chimie Organique Hétérocyclique, Faculté des Sciences, Université Mohammed v Rabat, Morocco",morocco
36835562000,"Saddiki, N","Faculté des Sciences, Université Mohammed v, Rabat, Morocco",morocco
36134144900,"Taoufik, Imane","Al Akhawayn University, Ifrane, Morocco",morocco
16021899700,"Barbri, N","Sensor Electronic and Instrumentation Group, Faculty of Sciences, Physics Department, 11201 Zitoune, Meekness, B.P, Morocco",morocco
24724519600,"Jamouli, H","Université Ibn Zohr, Ecole Nationale des Sciences Appliques, Agadir, Morocco",morocco
6603090492,"Dzahini, D"," CNESTEN, RP 10001 Rabat, BP 1382, Morocco",morocco
55944424900,"Hami, A"," Mechanical Department, School of Engineers of Mohammadia, Rabat-Agdal, Morocco",morocco
52763821000,"Senhaji, Houda"," Laboratoire Technologies de l'Information et de la Communication ENSAT, Morocco",morocco
52763236300,"Bahbouhi, Samir"," Laboratoire Technologies de l'Information et de la Communication ENSAT, Morocco",morocco
6506199391,"Sedes, F"," Faculty of Sciences, University Mohammed V, Rabat, Morocco",morocco
6602701872,"Mesquine, Fouad","Cadi Ayyad University, Research Unit EACPI-FSSM, Marrakesh, P.O. Box 2390, Morocco",morocco
15064143800,"Hadi, Youssef","GSCM-LRIT, Faculty of Sciences, Mohamed-V Agdal University, Rabat, B.P. 1014, Morocco",morocco
24830118000,"Meziane, Rachid"," SI2M Laboratory, WiM Team, ENSIAS, Mohamed-V Souissi University, Rabat-Agdal, B.P. 713, Morocco",morocco
6504495627,"HajThami, Rachid"," ENSIAS, Mohamed V-Souissi University, Rabat, B.P. 713, Morocco",morocco
25646692300,"Mouna, S","Communications and Electronic Laboratory, Mohammadia Engeneering Institute, Rabat, Av. Ibn Sina, Morocco",morocco
6505878056,"Ammor, H"," Faculty of Science Abdelmalek Essaadi University, Tetuan 93000, P. O. Box 2121, Morocco",morocco
6505483197,"Benaabidate, L","Faculty of Sciences and Technology, Fez, Morocco",morocco
55075867600,"Zian, A"," National Office of Mining and Hydrocarbon, Rabat, Morocco",morocco
26029304400,"Bahi, B","Department of Physics, GSCM-LRIT Laboratory, University of Mohamed V., Rabat, Avenue Ibn Battouta, Morocco",morocco
24821617200,"Elhaj, E"," Institut National des Postes et Télécommunications, Al Irfane-Rabat-Institus, Av. Allal Al Fassi-Madinat, Morocco",morocco
6603740646,"Dellis, J"," LMCN, FSTG, University Cadi Ayyad Marrakech, Morocco",morocco
56035700800,"Marssi, M"," LCMS, FSS, University Cadi Ayyad Marrakech, Morocco",morocco
15120077500,"Zoubeir, Youssef","Service Central d'Anatomie Pathologique, CHU Ibn Sina, Rabat, Morocco",morocco
7801422517,"Zouaidia, F"," Internat CHU Ibn Sina, Rabat, Morocco",morocco
22937642900,"Jabrane, Y","Electronics and Instrumentation Laboratory LEI (FSSM/UCAM), Department of Physics, Faculty of Sciences Semlalia, Marrakesh, P.O. Box 2390, Morocco",morocco
56617799400,"Iqdour, R"," National Institute of Poste and Telecommunications, Rabat, Morocco",morocco
12645265200,"Bouhelal, O","National School of Mineral Industry, Department of Engineering Processes, Agdal, Rabat, B.P 753, Morocco",morocco
16024103100,"Addaim, A","Centre for Space Research and Studies, Mohammadia School of Engineers, Department of Electrical Engineering, Rabat, B.P 765, Morocco",morocco
16024266800,"Kherras, A"," Royal Centre for Space Research and Studies, Rabat, Riad, Morocco",morocco
