id,Name,affiliation_id
57197965368,"Said, Fatima",77
6506358927,"Salah, Karima",77
22941800500,"Qacif, N",23
15749093100,"Baaziz, M",23
57207529443,"Aloui, Sana",153
21742723000,"Ouardighi, A",43
21742462600,"Akadi, A",125
55367973600,"Aboulaich, R",128
8393919900,"Boujena, S",37
56635747600,"Lhallabi, T",125
22135631600,"Moujib, A",125
7801442547,"Bouzahir, Hassane",99
6507666899,"Acco, Pascal",91
8649282200,"Chafiq, A",34
15763185800,"Mebirouk, M",128
21742608200,"Harti, M",153
12791144500,"Agouti, Tarik",18
23486487100,"Rakrak, Said",23
56628305900,"Bouda, B",125
55954037000,"Masmoudi, Lh",125
6701800902,"Aboutajdine, D",125
7005099342,"Kubler, L",9
22835109300,"Laroubi, Amine",23
6603933654,"Zrara, Ibtissam",23
16480179100,"Dariouchy, A",91
24066165800,"Barkatou, Mohammed",37
55890373200,"Manini, P",30
7003702100,"Petruzzelli, D",84
8132618700,"Kalmoun, El",27
56240178800,"Baz, M",120
6701449109,"Kinani, A",132
21743697700,"Samia, Azough",125
7003275520,"Gengembre, L",37
54684676300,"Mounir, B",31
56157896100,"Yaacoubi, A",23
23048562500,"Benhammou, A",23
23017911400,"Benmohammadi, A",77
23020142900,"Zourarah, Bendahhou",34
8294506000,"kaaouachi, A",91
8402476000,"cherif, N",37
9634499400,"Torre, Ángeles",37
16303163900,"Agouti, Imane",9
21741902700,"Chaouki, B",99
6603151650,"Daya, E",53
6603291513,"Hajjaji, N",77
57194070019,"Liazid, Ali",9
6603544800,"Bellouquid, A",28
6507696330,"Abboudi, Mostafa",6
57202809315,"Ali, Aitounejjar",77
6503868793,"Zraoula, Larbi",77
22933814600,"Alami, R",125
8548836600,"Grotevendt, Anne",23
6602626750,"Ouknine, Y",23
55962122300,"Aouniti, A",111
22834820300,"Lazaar, Saiida",12
23008431700,"Ghanane, Houssine",26
12783335000,"Laghrib, Naoual",142
59315750100,"Azrour, Mohamed",142
6603333370,"Lahcini, Mohammed",23
56619044100,"Ansari, Mohamed",91
24447687200,"Hadda, T",111
9943180600,"Kerbal, A",153
57151142600,"Benmessaoud, M",77
57519442800,"Saidi, Rabah",6
7003985262,"Eddouks, M",142
6506890573,"Dafali, A",142
57199450852,"Ayad, Hassan",23
22133892100,"Benbouziane, Toufiq",23
7006296776,"Chehbouni, A",18
6508313975,"Allami, Abdellatif",125
6603850100,"Raisonnier, Alain",6
7004513174,"Zahraouy, H",125
10640098700,"Skorupska, K",72
23102172000,"Blunier, Benjamin",65
15064318000,"Miraoui, Abdellatif",65
21734299700,"Abrini, R",1
6603819051,"Zahouily, M",62
6701774532,"Hassani, A",134
15045019100,"Lamrani, M",77
24450791000,"Jbari, Atman",125
24479517100,"Faska, Z",111
15760507800,"Majidi, L",142
7006129619,"Cabrera, Eduardo",120
15820166900,"Bekkaoui, A",84
6701660570,"Ezzinbi, Khalil",23
7004179768,"Benharref, Ahmed",23
35547027800,"Chafik, Tarik",9
8902866200,"Zaitan, Hicham",9
21743679500,"Rahima, Badri",111
56441512800,"Bakkali, Saad",9
21738934900,"Fatajou, Samir",23
6508305752,"Messouli, Mohammed",23
22233595200,"haoussi, Fatima",153
6602208166,"Morancho, F",18
6701602172,"Kerhoas, Lucien",132
7004097669,"Ducrot, Paul",132
54882995500,"Wang, Yide",155
7006421061,"Fernández, T",6
57191265175,"Ijjaali, Mostafa",153
6603899023,"Ennaciri, Abdelaziz",72
57219496742,"Laamara, R",125
6701524689,"Belhaj, A",125
56116694500,"Allain, Ronan",23
21233553900,"Amraoui, M",140
12785908400,"Azzou, A",142
7102393519,"Haddad, M",140
6701732548,"Smaoui, H",144
57204996724,"Daoudi, S",140
6603305401,"Bejjit, L",77
6506484339,"Archidi, M",140
17344434800,"Sadiki, Abdelhamid",153
6602139600,"Bouhlassa, Saidati",125
56015264500,"Maaroufi, Houda",126
16836539900,"Koumbadinga, Geremy",165
7003989878,"ussler, P",140
18533748900,"Aissam, Halah",153
6603210543,"Assobhei, Omar",37
23968697900,"Ghidouche, Souhila",132
23033859200,"Chafik, Abdelaziz",37
56490828500,"Alaoui, I",23
56014310300,"Mazroui, A",111
7003861350,"Ainane, A",140
55916329600,"Englebert, Vincent",47
56023971300,"Oualim, El",47
8419191700,"Lachkar, Mohammed",153
21742016100,"Aloui, Sanae",111
20435413400,"Sebaiy, Khalifa",23
8332058700,"Raki, M",23
6603038464,"Bahmad, L",125
17344393500,"Takati, Nadia",37
12646804900,"Mountassif, Driss",37
7004859414,"Garrigues, S",37
6504142875,"Hammari, L",125
25960021000,"Kodadi, Mohamed",111
15826852900,"Nankeu, D",23
16041226300,"Bennis, Driss",153
7003677035,"Tahiri, Abdelfatah",134
6603659312,"Wartiti, M",125
6506914662,"Kettani, Sakina",153
23099114300,"Belcadi, A",140
16481593400,"Zitan, Fouad",6
6603617178,"Nsiri, Benayad",53
6602488145,"Massoui, Mohamed",77
6507696424,"Fahd, Soumia",6
6603167113,"Salles, Laurent",6
7003613864,"Huene, W",108
34967754400,"Abdallah, Ines",111
16320137900,"Zgou, H",142
8983993400,"Hamidi, M",142
7005068151,"Lazrek, H",23
6602149692,"Gelgon, M",125
6507136645,"Siniti, M",37
14013056400,"Saffi, Mohamed",133
6508355503,"Cheddadi, Abdelkhalek",128
7102138516,"Kityk, I",37
7003344899,"Bentiss, F",37
57217025892,"Mouden, El",23
7003429400,"Adnot, A",153
6506410818,"Sadik, Brahim",23
6602345005,"Auhmani, A",23
8527291100,"Fdil, N",18
28067948100,"Herrag, Leila",111
55886151900,"Chakir, M",53
27168902300,"Katir, N",91
7003538444,"Hamedoun, M",153
12780731800,"Masrour, R",159
7003566526,"Moussa, N",34
6508372319,"Boudi, Nadia",140
7004249510,"Benyoucef, M",23
23025441100,"Kefi, Ferdaous",134
57211621459,"Zeroual, Abdellah",23
8511474100,"Ridal, Mohammed",37
6506286502,"Bourgey, A",37
