id,Affiliation,Abbreviation,University,City,Affiliation En Name
55,"Faculté des Sciences Juridiques, Economiques et Sociales Aïn Sebaa ",FSJES Aïn Sebaa ,Université Hassan II,Casablanca,"Faculty of Legal, Economic and Social Sciences of Aïn Sebaa"
56,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Hassan II,Mohammedia,"Faculty of Legal, Economic and Social Sciences"
57,Faculté des Lettres et des Sciences Humaines Aïn Chock ,FLSH Aïn Chock ,Université Hassan II,Casablanca,Faculté des Lettres et des Sciences Humaines Aïn Chock
58,Faculté des Lettres et des Sciences Humaines Ben M'Sick ,FLSH Ben M'Sick ,Université Hassan II,Casablanca,Faculté des Lettres et des Sciences Humaines Ben M'Sick
59,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Hassan II,Mohammedia,Faculty of Letters and Humanities
60,Faculté des Sciences Aïn Chock ,FS Aïn Chock ,Université Hassan II,Casablanca,Faculté des Sciences Aïn Chock
61,Faculté des Sciences Ben M'Sick ,FS Ben M'Sick ,Université Hassan II,Casablanca,Faculté des Sciences Ben M'Sick
62,Faculté des Sciences et Techniques ,FST ,Université Hassan II,Mohammedia,Faculty of Sciences and Techniques
63,Faculté de Médecine et de Pharmacie ,FMP ,Université Hassan II,Casablanca,Faculty of Medicine and Pharmacy
64,Faculté de Médecine Dentaire ,FMD ,Université Hassan II,Casablanca,Faculty of Dental Medicine
65,Ecole Nationale Supérieure d'Electricité et de Mécanique ,ENSEM ,Université Hassan II,Casablanca,National Higher School of Electricity and Mechanics
66,Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Hassan II,Casablanca,National Higher School of Arts and Crafts
67,Ecole Nationale Supérieure d'Art et Design ,ENSAD ,Université Hassan II,Casablanca,National Higher School of Art and Design
68,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Hassan II,Casablanca,National School of Commerce and Management
69,Ecole Normale Supérieure ,ENS ,Université Hassan II,Casablanca,Higher Normal School
70,Ecole Normale Supérieure de l'Enseignement Technique ,ENSET ,Université Hassan II,Mohammedia,Higher Normal School of Technical Education
71,Ecole Supérieure de Technologie ,EST ,Université Hassan II,Casablanca,Higher School of Technology
